node,conceptualized_node,node_type
developed economies,"nations, countries, regions, markets, societies, economies",entity
60 purported CIA agents,"agents, operatives, personnel, intelligence, organization, covert",entity
Bob Harris,"editor, writer, journalist, personality, figure",entity
Where It's At,"album, music, release, project, title",entity
Time Out Group,"company, publisher, media, organization, brand",entity
supply of clean water,"resource, necessity, utility, service, essential, provision",entity
developing countries,"nations, regions, economies, societies, areas, populations",entity
his birthday money,"funds, cash, allowance, gift, resources",entity
slum residences,"housing, dwellings, accommodations, living conditions, community, environment",entity
Nokia,"brand, company, telecommunications, manufacturer, technology",entity
infrastructure,"system, framework, foundation, structure, network, support",entity
derogatory term,"label, phrase, expression, insult, terminology",entity
"Orangi, Karachi, Pakistan","location, area, community, neighborhood, urban settlement, region",entity
iOS and Android,"operating systems, platforms, software, mobile technology, applications",entity
a London-only publication,"publication, magazine, periodical, media outlet, journal",entity
original collective decision-making structure,"system, organization, framework, governance, model, approach",entity
"over 307,000","number, figure, statistic, count, quantity",entity
the foundation of City Limits,"organization, initiative, project, establishment, entity",entity
United Nations,"organization, agency, international body, coalition, forum, institution",entity
poverty,"deprivation, hardship, struggle, inequality, challenge, issue",entity
slum,"neighborhood, area, community, settlement, environment, location",entity
London edition,"publication, edition, release, magazine, print",entity
first product,"item, offering, release, innovation, creation, launch",entity
largest slum city,"slum, city, urban area, settlement, community, population",entity
reliable sanitation services,"sanitation, services, hygiene, infrastructure, health, support",entity
reliable electricity,"power, energy, utility, resource, service",entity
Time Out,"publication, magazine, media, platform, brand",entity
slums,"urban area, impoverished community, housing, neighborhood, settlement, environment",entity
shanty houses to professionally built dwellings,"housing, accommodation, structures, living spaces, dwellings, construction, architecture",entity
19th to late 20th centuries,"time period, era, century, historical context, age",entity
law enforcement,"authority, policing, security, enforcement, agency, protection",entity
growth of slums,"urban development, poverty, housing crisis, social issue, population increase, inequality",entity
urbanization,"development, expansion, transformation, modernization, change, growth",entity
densely packed housing units,"housing, units, dwellings, structures, community, settlement",entity
International Consumer Magazine of the Year award,"award, recognition, honor, accolade, title, distinction",entity
International Consumer Media Brand of the Year,"award, title, recognition, honor, distinction",entity
Dave Brubeck's album Time Out,"album, music, jazz, record, composition, work",entity
a free publication,"publication, magazine, periodical, resource, print media",entity
Tony Elliott,"person, publisher, entrepreneur, founder, individual",entity
impoverished people,"individuals, community, population, group, society, demographic",entity
deteriorated or incomplete,"condition, state, quality, status, structure",entity
333 cities in 59 countries,"locations, cities, regions, areas, places, destinations",entity
caused,"triggered, led to, resulted in, produced, initiated",relation
is a,"belongs to, represents, classifies as, defines, categorizes",relation
is located in,"situated at, found in, positioned in, resides in, exists in",relation
is inhabited by,"populate, reside in, occupy, dwell in, live in",relation
was titled,"named, designated, labeled, referred to, called",relation
became common in,"spread, popularize, gain prevalence, become widespread, establish presence",relation
is associated with,"connected to, linked with, related to, affiliated with, tied to",relation
is published by,"released by, issued by, printed by, distributed by, made public by",relation
defines,"describes, delineates, characterizes, specifies, outlines",relation
is,"exists, represents, signifies, constitutes, embodies",relation
has a readership of,"audience size, readership count, follower base, subscriber number",relation
led to,"caused, resulted in, brought about, triggered, produced",relation
abandoned,"deserted, forsaken, left behind, neglected, relinquished",relation
lack,"absence, deficiency, scarcity, insufficiency, want",relation
expanded to,"broadened, extended, enlarged, increased, widened",relation
became,"transformed, turned into, evolved into, changed into, developed into",relation
started as,"originated from, began as, emerged from, developed from, initiated as",relation
was first published by,"released by, issued by, launched by, introduced by, presented by",relation
has mobile apps for,"offers applications, provides software, supports mobile platforms, features apps",relation
includes partnerships with,"collaborates with, forms alliances with, engages in partnerships, establishes connections with",relation
was recipient of,"received, obtained, acquired, gained, accepted",relation
used,"utilized, employed, applied, consumed, exploited",relation
was co-edited by,"collaborated on, jointly edited, co-authored, shared authorship",relation
vary from,"differ from, change from, deviate from, contrast with, fluctuate from",relation
consists of,"comprise, contain, include, be made of, be composed of",relation
are found in,"exist in, occur in, appear in, reside in, be present in",relation
was inspired by,"motivated by, influenced by, sparked by, driven by, guided by",relation
was rebranded as,"renamed, redefined, transformed, reclassified, updated",relation
published names of,"listed names, announced names, disclosed names, revealed names, shared names",relation
