:START_ID,:END_ID,:TYPE
Time Out,9e9e63589ed15ca212ea424c57635b80f6819431610407cb05b02ef1fbe8c3b1,Source
Time Out Group,9e9e63589ed15ca212ea424c57635b80f6819431610407cb05b02ef1fbe8c3b1,Source
a London-only publication,9e9e63589ed15ca212ea424c57635b80f6819431610407cb05b02ef1fbe8c3b1,Source
333 cities in 59 countries,9e9e63589ed15ca212ea424c57635b80f6819431610407cb05b02ef1fbe8c3b1,Source
London edition,9e9e63589ed15ca212ea424c57635b80f6819431610407cb05b02ef1fbe8c3b1,Source
a free publication,9e9e63589ed15ca212ea424c57635b80f6819431610407cb05b02ef1fbe8c3b1,Source
"over 307,000",9e9e63589ed15ca212ea424c57635b80f6819431610407cb05b02ef1fbe8c3b1,Source
Nokia,9e9e63589ed15ca212ea424c57635b80f6819431610407cb05b02ef1fbe8c3b1,Source
iOS and Android,9e9e63589ed15ca212ea424c57635b80f6819431610407cb05b02ef1fbe8c3b1,Source
International Consumer Magazine of the Year award,9e9e63589ed15ca212ea424c57635b80f6819431610407cb05b02ef1fbe8c3b1,Source
International Consumer Media Brand of the Year,9e9e63589ed15ca212ea424c57635b80f6819431610407cb05b02ef1fbe8c3b1,Source
Tony Elliott,9e9e63589ed15ca212ea424c57635b80f6819431610407cb05b02ef1fbe8c3b1,Source
his birthday money,9e9e63589ed15ca212ea424c57635b80f6819431610407cb05b02ef1fbe8c3b1,Source
Bob Harris,9e9e63589ed15ca212ea424c57635b80f6819431610407cb05b02ef1fbe8c3b1,Source
first product,9e9e63589ed15ca212ea424c57635b80f6819431610407cb05b02ef1fbe8c3b1,Source
Where It's At,9e9e63589ed15ca212ea424c57635b80f6819431610407cb05b02ef1fbe8c3b1,Source
Dave Brubeck's album Time Out,9e9e63589ed15ca212ea424c57635b80f6819431610407cb05b02ef1fbe8c3b1,Source
original collective decision-making structure,9e9e63589ed15ca212ea424c57635b80f6819431610407cb05b02ef1fbe8c3b1,Source
the foundation of City Limits,9e9e63589ed15ca212ea424c57635b80f6819431610407cb05b02ef1fbe8c3b1,Source
60 purported CIA agents,9e9e63589ed15ca212ea424c57635b80f6819431610407cb05b02ef1fbe8c3b1,Source
slum,7b44f87772ba4b2153a81d6a09938898347aaee14c1b42aa21a6df5e68dc7ff1,Source
derogatory term,7b44f87772ba4b2153a81d6a09938898347aaee14c1b42aa21a6df5e68dc7ff1,Source
densely packed housing units,7b44f87772ba4b2153a81d6a09938898347aaee14c1b42aa21a6df5e68dc7ff1,Source
poverty,7b44f87772ba4b2153a81d6a09938898347aaee14c1b42aa21a6df5e68dc7ff1,Source
infrastructure,7b44f87772ba4b2153a81d6a09938898347aaee14c1b42aa21a6df5e68dc7ff1,Source
deteriorated or incomplete,7b44f87772ba4b2153a81d6a09938898347aaee14c1b42aa21a6df5e68dc7ff1,Source
impoverished people,7b44f87772ba4b2153a81d6a09938898347aaee14c1b42aa21a6df5e68dc7ff1,Source
slum residences,7b44f87772ba4b2153a81d6a09938898347aaee14c1b42aa21a6df5e68dc7ff1,Source
shanty houses to professionally built dwellings,7b44f87772ba4b2153a81d6a09938898347aaee14c1b42aa21a6df5e68dc7ff1,Source
slums,7b44f87772ba4b2153a81d6a09938898347aaee14c1b42aa21a6df5e68dc7ff1,Source
reliable sanitation services,7b44f87772ba4b2153a81d6a09938898347aaee14c1b42aa21a6df5e68dc7ff1,Source
supply of clean water,7b44f87772ba4b2153a81d6a09938898347aaee14c1b42aa21a6df5e68dc7ff1,Source
reliable electricity,7b44f87772ba4b2153a81d6a09938898347aaee14c1b42aa21a6df5e68dc7ff1,Source
law enforcement,7b44f87772ba4b2153a81d6a09938898347aaee14c1b42aa21a6df5e68dc7ff1,Source
United Nations,7b44f87772ba4b2153a81d6a09938898347aaee14c1b42aa21a6df5e68dc7ff1,Source
urbanization,7b44f87772ba4b2153a81d6a09938898347aaee14c1b42aa21a6df5e68dc7ff1,Source
growth of slums,7b44f87772ba4b2153a81d6a09938898347aaee14c1b42aa21a6df5e68dc7ff1,Source
19th to late 20th centuries,7b44f87772ba4b2153a81d6a09938898347aaee14c1b42aa21a6df5e68dc7ff1,Source
developing countries,7b44f87772ba4b2153a81d6a09938898347aaee14c1b42aa21a6df5e68dc7ff1,Source
developed economies,7b44f87772ba4b2153a81d6a09938898347aaee14c1b42aa21a6df5e68dc7ff1,Source
largest slum city,7b44f87772ba4b2153a81d6a09938898347aaee14c1b42aa21a6df5e68dc7ff1,Source
"Orangi, Karachi, Pakistan",7b44f87772ba4b2153a81d6a09938898347aaee14c1b42aa21a6df5e68dc7ff1,Source
